name,email,date,is_partner,company,role_company,donation_frecuency,suscription_status,donation_type,amount,method_pay,donation_date
Pamela Williamson,pamela.williamson@gmail.com,2023-04-13,1,Nasscom,CEO,0,1,2,0,3,2021-04-26
John Ortega,john.ortega@gmail.com,2022-08-06,1,Amazon,CEO,1,1,2,0,3,2016-05-23
Dustin Stuart,dustin.stuart@gmail.com,2018-06-29,1,Nike,Employee,0,1,3,0,3,2009-03-29
Rhonda Smith,rhonda.smith@gmail.com,2009-10-06,1,Indigo, CTO,1,1,3,0,3,2022-06-13
Gary Barrett,gary.barrett@gmail.com,2019-07-27,1,Jonhsons,CEO,1,1,2,0,3,2023-10-11
Cindy Berger,cindy.berger@gmail.com,2009-05-10,1,Jonhsons,CEO,0,1,2,0,3,2019-09-03
Kathleen Baker,kathleen.baker@gmail.com,2012-05-08,1,Cromax,Employee,1,1,2,0,3,2009-07-16
Philip Franklin,philip.franklin@gmail.com,2008-10-16,1,Cromax,CEO,1,1,4,0,3,2020-11-04
Deborah Smith,deborah.smith@gmail.com,2014-02-06,1,Hyatt, CTO,1,1,3,0,3,2018-02-18
Samantha Caldwell,samantha.caldwell@gmail.com,2009-11-19,0,None,None,1,1,1,10,1,2023-01-16
Abigail Tucker,abigail.tucker@gmail.com,2007-09-29,0,None,None,1,1,1,1,1,2018-06-03
Rita Johnson,rita.johnson@gmail.com,2019-05-30,1,Indigo, CTO,1,1,2,0,1,2007-11-19
Joseph Jimenez,joseph.jimenez@gmail.com,2015-12-07,0,None,None,1,1,1,100,1,2012-10-14
Michael Carlson,michael.carlson@gmail.com,2011-07-02,1,CBN, CTO,0,1,1,1733,1,2011-02-12
Erika Weaver,erika.weaver@gmail.com,2013-07-20,0,None,None,0,0,1,90,2,2011-05-06
Valerie Fischer,valerie.fischer@gmail.com,2016-02-02,0,None,None,1,1,1,70,3,2014-06-09
Jennifer Stephenson,jennifer.stephenson@gmail.com,2020-12-09,0,None,None,0,0,1,5,3,2012-07-09
Brittney Carter,brittney.carter@gmail.com,2007-01-20,0,None,None,1,1,1,5,2,2024-03-21
Kimberly Davis,kimberly.davis@gmail.com,2022-12-17,1,Westin,CEO,0,1,2,0,2,2021-07-03
Randall Knox,randall.knox@gmail.com,2007-03-30,0,None,None,1,1,1,5,2,2023-01-17
Theresa King,theresa.king@gmail.com,2017-08-04,1,Hyatt,Employee,0,1,3,0,2,2019-04-08
Leslie Vasquez,leslie.vasquez@gmail.com,2022-02-01,1,Nike, CTO,0,1,2,0,2,2020-06-08
Michael Deleon,michael.deleon@gmail.com,2009-06-01,0,None,None,1,1,1,10,1,2011-05-13
Stephen Lindsey,stephen.lindsey@gmail.com,2021-03-10,1,Baxter,Employee,0,1,1,286,2,2012-01-23
Kenneth Riley,kenneth.riley@gmail.com,2014-04-17,0,None,None,0,0,1,5,2,2009-01-06
Sarah Bailey,sarah.bailey@gmail.com,2019-10-26,0,None,None,1,1,1,90,1,2020-12-06
David Taylor,david.taylor@gmail.com,2021-11-14,0,None,None,1,1,1,5,2,2019-12-25
Darren Martinez,darren.martinez@gmail.com,2013-10-15,0,None,None,0,0,1,70,1,2019-05-19
Scott Howard,scott.howard@gmail.com,2014-03-26,1,Nasscom,Employee,1,1,4,0,1,2009-02-21
Katherine Jensen,katherine.jensen@gmail.com,2014-02-13,1,Pepsi,CEO,0,1,3,0,1,2011-10-20
Cesar Pham,cesar.pham@gmail.com,2011-09-23,1,Vodafone, CTO,0,1,1,1552,1,2018-06-08
James Reyes,james.reyes@gmail.com,2014-07-21,0,None,None,1,1,1,5,2,2019-01-02
Nicholas Kirk DDS,nicholas kirk dds.@gmail.com,2010-06-05,0,None,None,1,1,1,15,1,2016-04-09
Jay Martinez,jay.martinez@gmail.com,2021-02-06,1,Amazon, CTO,1,1,2,0,1,2011-06-15
Warren Griffin,warren.griffin@gmail.com,2022-08-05,0,None,None,0,0,1,100,3,2022-09-24
Stephanie Dixon,stephanie.dixon@gmail.com,2016-11-05,0,None,None,1,1,1,90,3,2011-08-27
Judy Huffman,judy.huffman@gmail.com,2023-01-24,1,CaSa,Employee,0,1,2,0,3,2012-06-24
Lauren Thompson,lauren.thompson@gmail.com,2021-01-24,1,Cromax,Employee,0,1,4,0,3,2016-04-11
Cheryl Torres,cheryl.torres@gmail.com,2018-10-01,0,None,None,1,1,1,1,3,2021-07-20
Kathleen Henderson,kathleen.henderson@gmail.com,2023-06-10,0,None,None,0,0,1,90,1,2009-11-12
Kara Baker,kara.baker@gmail.com,2013-03-07,0,None,None,1,1,1,50,1,2023-10-18
Jose Mckay,jose.mckay@gmail.com,2013-10-18,0,None,None,1,1,1,10,3,2010-11-24
Angela Dillon,angela.dillon@gmail.com,2010-09-24,0,None,None,1,1,1,90,1,2016-12-29
Bethany Chen,bethany.chen@gmail.com,2015-07-19,0,None,None,1,1,1,90,1,2006-11-20
Lori Ewing,lori.ewing@gmail.com,2012-05-05,0,None,None,1,1,1,15,1,2024-02-08
Ronnie Johnson,ronnie.johnson@gmail.com,2017-07-23,1,Nasscom,CEO,1,1,2,0,1,2009-12-14
Pamela Lindsey,pamela.lindsey@gmail.com,2013-07-30,1,Pepsi, CTO,0,1,3,0,1,2008-07-27
Bethany Duncan,bethany.duncan@gmail.com,2021-02-22,1,Baxter, CTO,1,1,2,0,1,2015-09-09
Kelly Lynn,kelly.lynn@gmail.com,2019-10-13,1,Nike, CTO,1,1,1,945,1,2014-08-22
Joshua Cook,joshua.cook@gmail.com,2015-12-20,1,Jonhsons,CEO,1,1,1,482,1,2010-04-03
Rebecca Callahan,rebecca.callahan@gmail.com,2015-10-28,0,None,None,1,1,1,35,1,2016-04-07
Donna Jensen,donna.jensen@gmail.com,2017-09-03,0,None,None,0,0,1,100,1,2013-02-20
Linda Richards,linda.richards@gmail.com,2007-06-02,1,Cosco, CTO,1,1,1,622,3,2015-10-23
Melissa Gonzalez,melissa.gonzalez@gmail.com,2014-05-22,0,None,None,0,0,1,10,3,2023-10-08
Eric Flores,eric.flores@gmail.com,2012-02-03,0,None,None,0,0,1,90,2,2010-03-30
Sean Thomas,sean.thomas@gmail.com,2008-10-09,0,None,None,0,0,1,20,1,2015-03-20
Timothy Curry,timothy.curry@gmail.com,2023-11-05,1,Nike,CEO,1,1,4,0,1,2014-12-15
Ashley Allen DDS,ashley allen dds.@gmail.com,2007-04-11,0,None,None,0,0,1,70,3,2021-10-09
Kenneth Morales,kenneth.morales@gmail.com,2009-10-15,0,None,None,1,1,1,50,3,2020-01-28
Todd Heath,todd.heath@gmail.com,2023-08-10,0,None,None,1,1,1,70,1,2014-12-19
Tanya Small,tanya.small@gmail.com,2017-11-02,0,None,None,1,1,1,20,2,2017-11-01
Jose Hudson,jose.hudson@gmail.com,2022-10-07,0,None,None,0,0,1,1,2,2019-10-18
Cody Lewis,cody.lewis@gmail.com,2023-02-26,1,Westin,Employee,0,1,3,0,2,2023-09-05
Dr. Michelle Clark,dr. michelle clark.@gmail.com,2008-06-26,1,Baxter, CTO,1,1,4,0,2,2013-08-04
Andrea Powers,andrea.powers@gmail.com,2010-12-09,1,Nasscom,Employee,0,1,1,1660,3,2016-10-08
Jasmin Rogers,jasmin.rogers@gmail.com,2023-08-26,0,None,None,0,0,1,70,1,2011-01-07
Crystal Martinez,crystal.martinez@gmail.com,2016-01-12,1,CBN, CTO,1,1,1,1171,1,2021-04-18
Jason Hill,jason.hill@gmail.com,2008-07-03,0,None,None,0,0,1,100,2,2010-12-16
Jessica Sullivan,jessica.sullivan@gmail.com,2013-07-18,1,Amazon, CTO,0,1,2,0,2,2014-06-12
Karen Barker,karen.barker@gmail.com,2021-10-22,0,None,None,1,1,1,1,2,2012-08-23
Benjamin Anderson,benjamin.anderson@gmail.com,2012-08-19,0,None,None,1,1,1,35,1,2009-03-13
Stephanie Williams,stephanie.williams@gmail.com,2014-03-11,0,None,None,0,0,1,10,2,2021-10-03
Stacy Gross,stacy.gross@gmail.com,2009-09-02,0,None,None,1,1,1,35,3,2022-04-29
Douglas Gregory,douglas.gregory@gmail.com,2013-09-28,0,None,None,0,0,1,15,1,2020-02-08
Rebecca Benjamin,rebecca.benjamin@gmail.com,2016-07-16,1,Pepsi,CEO,1,1,2,0,1,2013-02-16
Michael Turner,michael.turner@gmail.com,2016-04-19,1,The Oberoi, CTO,1,1,1,590,3,2023-05-24
Paul Luna,paul.luna@gmail.com,2015-10-07,1,Amazon,CEO,1,1,2,0,3,2014-07-20
Jennifer Long,jennifer.long@gmail.com,2023-11-23,1,Westin,CEO,0,1,1,1263,1,2018-03-04
Brianna Castillo,brianna.castillo@gmail.com,2023-01-18,1,Cromax,Employee,0,1,3,0,1,2014-06-13
Kimberly Cruz,kimberly.cruz@gmail.com,2009-08-22,1,CaSa,Employee,1,1,2,0,1,2011-12-30
Margaret White,margaret.white@gmail.com,2007-02-22,1,Pepsi,Employee,1,1,3,0,1,2019-06-18
Wanda Gonzalez,wanda.gonzalez@gmail.com,2017-04-01,0,None,None,0,0,1,1,2,2016-11-30
Jasmine Henry,jasmine.henry@gmail.com,2022-01-09,1,Nasscom, CTO,1,1,2,0,2,2011-01-31
Jacob Martin,jacob.martin@gmail.com,2011-02-20,1,CaSa,Employee,1,1,4,0,2,2019-07-15
Robert Morgan,robert.morgan@gmail.com,2021-12-17,0,None,None,0,0,1,35,2,2015-12-27
Nathan Harris,nathan.harris@gmail.com,2019-03-09,0,None,None,0,0,1,35,3,2015-08-31
Jennifer White,jennifer.white@gmail.com,2019-11-15,1,Amazon,CEO,1,1,2,0,3,2015-04-25
Jason Baker,jason.baker@gmail.com,2012-07-27,0,None,None,0,0,1,90,2,2021-12-11
Joseph Wilson,joseph.wilson@gmail.com,2017-08-24,1,Baxter,Employee,1,1,1,790,3,2017-06-29
Donald Cabrera,donald.cabrera@gmail.com,2017-06-18,1,Amazon,CEO,1,1,1,1461,2,2010-09-11
Christopher Johnson,christopher.johnson@gmail.com,2007-04-01,0,None,None,0,0,1,10,3,2014-05-06
Rhonda Mcdonald,rhonda.mcdonald@gmail.com,2008-06-17,0,None,None,0,0,1,5,1,2016-12-21
David Guzman,david.guzman@gmail.com,2023-07-22,0,None,None,1,1,1,50,2,2007-07-11
Kayla Giles,kayla.giles@gmail.com,2020-11-08,1,Nike, CTO,1,1,4,0,2,2020-03-14
Jared Barron,jared.barron@gmail.com,2020-08-02,0,None,None,1,1,1,70,2,2008-09-11
Kristen Cooper,kristen.cooper@gmail.com,2014-12-02,1,Vodafone,Employee,0,1,3,0,2,2007-07-22
Robin Gould,robin.gould@gmail.com,2015-09-22,1,Cosco,Employee,0,1,2,0,2,2009-04-12
Elizabeth Houston,elizabeth.houston@gmail.com,2012-07-19,0,None,None,0,0,1,1,1,2013-07-10
Ryan Abbott,ryan.abbott@gmail.com,2012-11-05,0,None,None,1,1,1,90,1,2022-12-07
Thomas Wolfe,thomas.wolfe@gmail.com,2024-03-14,0,None,None,1,1,1,90,3,2019-04-23
Steve Rivera,steve.rivera@gmail.com,2011-10-23,1,CBN,Employee,1,1,2,0,3,2022-09-28
Brian Pittman,brian.pittman@gmail.com,2012-07-08,1,Amazon,CEO,0,1,2,0,3,2019-03-17
Patrick Cline,patrick.cline@gmail.com,2017-03-12,1,Westin,CEO,0,1,2,0,3,2015-02-13
Rodney Wood,rodney.wood@gmail.com,2010-04-16,0,None,None,0,0,1,100,2,2012-12-29
John Flores,john.flores@gmail.com,2021-12-24,1,Indigo,CEO,0,1,2,0,2,2019-03-24
Tiffany Campbell,tiffany.campbell@gmail.com,2020-04-07,0,None,None,0,0,1,35,3,2015-01-12
Anthony Woods,anthony.woods@gmail.com,2019-03-20,0,None,None,1,1,1,10,2,2015-06-07
Katie Rogers,katie.rogers@gmail.com,2016-09-22,0,None,None,1,1,1,100,1,2016-11-07
Timothy Wilson,timothy.wilson@gmail.com,2018-09-08,0,None,None,0,0,1,1,1,2015-02-01
David Lewis,david.lewis@gmail.com,2024-03-21,1,YCI,Employee,0,1,3,0,1,2007-01-16
Jessica Rivas,jessica.rivas@gmail.com,2020-05-01,0,None,None,1,1,1,10,2,2021-05-19
Albert Jackson,albert.jackson@gmail.com,2017-09-17,1,Hyatt,Employee,1,1,1,1619,1,2007-10-31
Sean Sellers,sean.sellers@gmail.com,2023-09-13,0,None,None,0,0,1,15,1,2019-03-26
Sabrina Dominguez,sabrina.dominguez@gmail.com,2009-11-23,0,None,None,1,1,1,10,2,2017-12-05
Brandon Martin,brandon.martin@gmail.com,2024-02-22,0,None,None,1,1,1,70,2,2011-05-11
Stephen Page,stephen.page@gmail.com,2014-04-09,1,The Oberoi,CEO,0,1,1,501,2,2016-08-24
Rhonda Hughes,rhonda.hughes@gmail.com,2012-10-05,1,Westin,Employee,0,1,2,0,2,2021-11-09
Daniel Higgins,daniel.higgins@gmail.com,2007-12-23,1,Cromax,CEO,1,1,3,0,2,2018-02-14
Anna Cowan,anna.cowan@gmail.com,2010-07-06,0,None,None,0,0,1,70,1,2018-01-13
Spencer Barrera,spencer.barrera@gmail.com,2018-10-28,1,Baxter,Employee,0,1,4,0,1,2010-01-05
Stephanie Olson,stephanie.olson@gmail.com,2014-04-28,1,Vodafone, CTO,0,1,3,0,1,2018-01-02
Kristin Fritz,kristin.fritz@gmail.com,2014-09-26,1,Hyatt,CEO,0,1,1,307,3,2020-10-26
Kayla Cohen,kayla.cohen@gmail.com,2012-10-27,0,None,None,0,0,1,10,2,2014-05-26
Hannah Wagner,hannah.wagner@gmail.com,2010-05-10,0,None,None,1,1,1,35,3,2015-06-20
Jennifer Wilson,jennifer.wilson@gmail.com,2024-03-03,1,Cromax,CEO,1,1,3,0,3,2008-08-08
Stephanie Martin,stephanie.martin@gmail.com,2021-12-30,0,None,None,1,1,1,5,2,2014-11-12
Brenda Scott,brenda.scott@gmail.com,2021-04-24,1,Nike, CTO,0,1,3,0,2,2022-08-31
Richard King,richard.king@gmail.com,2012-04-16,0,None,None,0,0,1,70,3,2012-02-18
James Nolan,james.nolan@gmail.com,2021-02-08,0,None,None,1,1,1,50,3,2018-02-10
Samantha Pacheco MD,samantha pacheco md.@gmail.com,2016-01-05,1,Cosco,Employee,1,1,3,0,3,2012-11-29
Jessica Lawson,jessica.lawson@gmail.com,2016-08-23,1,Amazon,CEO,0,1,1,410,1,2021-06-21
Jonathan Miller,jonathan.miller@gmail.com,2015-09-07,1,The Oberoi,CEO,1,1,4,0,1,2015-11-27
Daniel Morris,daniel.morris@gmail.com,2022-05-20,1,Baxter, CTO,0,1,1,216,1,2009-06-07
Andrew Aguilar,andrew.aguilar@gmail.com,2016-01-20,0,None,None,0,0,1,35,1,2019-02-24
Austin Kelly,austin.kelly@gmail.com,2008-03-25,0,None,None,0,0,1,100,2,2006-11-21
Megan Henry,megan.henry@gmail.com,2017-11-29,0,None,None,0,0,1,20,3,2018-03-05
Ryan Peters,ryan.peters@gmail.com,2016-12-14,0,None,None,1,1,1,20,2,2014-05-25
Michael Bailey,michael.bailey@gmail.com,2016-01-17,0,None,None,0,0,1,100,3,2013-08-30
Teresa Adams,teresa.adams@gmail.com,2014-04-20,0,None,None,0,0,1,35,3,2019-01-17
Shannon Blanchard,shannon.blanchard@gmail.com,2012-10-16,0,None,None,1,1,1,15,2,2015-06-30
Lauren Ayers,lauren.ayers@gmail.com,2014-12-01,1,The Oberoi, CTO,1,1,2,0,2,2016-09-16
Amber Clark,amber.clark@gmail.com,2018-07-22,1,Pepsi,Employee,0,1,2,0,2,2022-03-26
Kevin Ballard,kevin.ballard@gmail.com,2021-01-06,0,None,None,1,1,1,15,2,2012-12-16
Lisa Daugherty,lisa.daugherty@gmail.com,2012-04-01,1,CaSa, CTO,1,1,4,0,2,2011-12-20
Catherine Clarke,catherine.clarke@gmail.com,2018-06-26,0,None,None,1,1,1,70,3,2019-11-05
Kyle Molina,kyle.molina@gmail.com,2022-03-17,0,None,None,0,0,1,15,1,2007-11-17
Karen Reyes,karen.reyes@gmail.com,2020-03-06,0,None,None,0,0,1,15,1,2023-03-27
Denise Jones,denise.jones@gmail.com,2021-09-16,1,CBN, CTO,0,1,1,367,2,2011-01-06
Cynthia Mccormick,cynthia.mccormick@gmail.com,2014-04-16,1,Nike,Employee,0,1,1,433,3,2013-08-15
Samuel Smith,samuel.smith@gmail.com,2008-05-13,0,None,None,1,1,1,15,2,2022-01-21
John Benjamin,john.benjamin@gmail.com,2010-07-30,1,Vodafone,CEO,1,1,3,0,2,2008-01-15
Miranda Jenkins,miranda.jenkins@gmail.com,2008-07-27,1,YCI, CTO,1,1,1,1067,2,2008-06-20
Ricardo Henderson,ricardo.henderson@gmail.com,2014-05-01,0,None,None,0,0,1,90,2,2011-08-16
Aaron Terry,aaron.terry@gmail.com,2018-04-04,0,None,None,0,0,1,90,3,2015-03-07
Robert Neal,robert.neal@gmail.com,2016-08-06,0,None,None,0,0,1,35,1,2023-02-16
Michael Richards,michael.richards@gmail.com,2016-10-07,0,None,None,0,0,1,20,2,2020-08-07
Jeffrey Davidson,jeffrey.davidson@gmail.com,2022-09-25,0,None,None,1,1,1,20,3,2010-08-05
Samantha Burton,samantha.burton@gmail.com,2019-01-07,1,The Oberoi,Employee,1,1,4,0,3,2019-12-15
Mrs. Amanda Flores DDS,mrs. amanda flores dds.@gmail.com,2010-05-14,1,Baxter,Employee,0,1,2,0,3,2021-07-08
Heather Escobar,heather.escobar@gmail.com,2022-11-02,1,Nike,Employee,0,1,2,0,3,2023-10-12
Russell Johnson MD,russell johnson md.@gmail.com,2015-12-18,1,CBN,Employee,1,1,1,1150,1,2014-02-05
Kimberly Williams,kimberly.williams@gmail.com,2018-04-16,0,None,None,1,1,1,20,3,2020-11-11
Jeffrey Roberson,jeffrey.roberson@gmail.com,2023-06-23,1,Vodafone, CTO,1,1,1,1806,1,2009-10-08
Donald Lee,donald.lee@gmail.com,2020-07-08,0,None,None,0,0,1,35,1,2021-06-28
William Davis,william.davis@gmail.com,2017-03-30,1,Westin, CTO,0,1,1,1025,1,2022-04-10
Jorge Phillips,jorge.phillips@gmail.com,2023-03-18,1,CBN, CTO,1,1,4,0,1,2015-08-04
Sarah Figueroa,sarah.figueroa@gmail.com,2013-03-01,0,None,None,1,1,1,15,2,2008-11-18
Angela Johnson,angela.johnson@gmail.com,2013-02-19,1,Indigo,CEO,1,1,4,0,2,2014-11-23
Jennifer Moore,jennifer.moore@gmail.com,2008-11-16,1,Cosco, CTO,1,1,1,909,1,2022-12-08
Angela Phillips,angela.phillips@gmail.com,2020-06-03,0,None,None,0,0,1,5,3,2022-01-16
Sandra King,sandra.king@gmail.com,2013-11-05,1,Nike,CEO,0,1,4,0,3,2014-05-31
Lynn Flowers,lynn.flowers@gmail.com,2019-11-19,0,None,None,0,0,1,20,1,2009-01-15
Joseph Bradley,joseph.bradley@gmail.com,2007-09-11,1,Nasscom,Employee,0,1,1,1759,2,2011-06-18
Amber Castillo,amber.castillo@gmail.com,2023-03-30,0,None,None,0,0,1,90,3,2015-06-27
Jessica Hanson,jessica.hanson@gmail.com,2009-01-11,0,None,None,0,0,1,50,2,2023-01-13
Brianna Diaz,brianna.diaz@gmail.com,2007-05-29,1,Jonhsons,CEO,1,1,2,0,2,2008-02-02
Michael Brown,michael.brown@gmail.com,2006-12-04,1,Baxter,Employee,1,1,1,842,3,2024-01-26
Edward Page,edward.page@gmail.com,2022-04-12,1,Baxter,CEO,0,1,3,0,3,2019-03-29
Philip Johnson,philip.johnson@gmail.com,2009-08-22,0,None,None,1,1,1,5,3,2007-12-16
Bryan Walker,bryan.walker@gmail.com,2014-06-16,0,None,None,1,1,1,35,1,2018-11-21
Kathy Martinez,kathy.martinez@gmail.com,2021-02-23,1,Hyatt,Employee,0,1,1,1987,3,2009-06-08
Jacqueline Coleman,jacqueline.coleman@gmail.com,2015-10-10,0,None,None,1,1,1,5,3,2014-01-20
Christopher Collins,christopher.collins@gmail.com,2017-07-07,0,None,None,0,0,1,10,2,2014-05-08
Ashley Cole,ashley.cole@gmail.com,2008-02-06,0,None,None,1,1,1,35,2,2018-05-01
Joel Olson,joel.olson@gmail.com,2014-08-13,1,Vodafone, CTO,0,1,3,0,2,2017-04-06
Noah Perez,noah.perez@gmail.com,2009-01-25,0,None,None,1,1,1,100,1,2017-09-16
Karen Lawson,karen.lawson@gmail.com,2016-11-21,0,None,None,1,1,1,5,3,2023-12-19
Jamie Brown,jamie.brown@gmail.com,2007-04-10,0,None,None,0,0,1,1,3,2017-05-11
William Cunningham,william.cunningham@gmail.com,2007-02-23,1,Pepsi, CTO,1,1,2,0,3,2022-05-28
Amy Jackson,amy.jackson@gmail.com,2011-07-29,1,Cromax,CEO,0,1,1,1491,3,2009-12-20
Cynthia Scott,cynthia.scott@gmail.com,2013-12-03,1,CBN, CTO,1,1,3,0,3,2019-12-28
David Brown,david.brown@gmail.com,2023-12-29,1,Jonhsons, CTO,0,1,1,437,3,2020-04-02
