name,email,date,is_partner,company,role_company,donation_frecuency,suscription_status,donation_type,amount,method_pay,donation_date
Michael Campos,michael.campos@gmail.com,2018-10-16,1,Pepsi,CEO,1,1,1,589.0,1,2018-11-04
Carrie Rodriguez,carrie.rodriguez@gmail.com,2020-04-04,1,Vodafone,CEO,1,1,2,0.0,1,2023-03-21
David Hood,david.hood@gmail.com,2020-07-31,1,YCI,Employee,1,1,2,0.0,1,2023-01-12
Luis Fletcher,luis.fletcher@gmail.com,2023-02-06,1,Nasscom,Employee,1,1,3,0.0,1,2023-10-03
Shaun Burton,shaun.burton@gmail.com,2013-04-02,0,None,None,0,0,1,3162.55,2,2007-12-05
Michael Myers,michael.myers@gmail.com,2020-04-04,1,Vodafone, CTO,0,1,1,1293.0,3,2020-06-25
Kathy Calderon,kathy.calderon@gmail.com,2007-01-02,0,None,None,0,0,1,1355.38,2,2013-01-27
Jennifer Fuller,jennifer.fuller@gmail.com,2007-02-28,0,None,None,0,0,1,903.59,3,2022-01-04
Lauren Herrera,lauren.herrera@gmail.com,2010-09-05,0,None,None,0,0,1,8132.27,3,2014-01-27
Allison Ortega,allison.ortega@gmail.com,2020-07-31,1,YCI,Employee,0,1,1,513.0,3,2023-10-23
Robert Cohen,robert.cohen@gmail.com,2023-10-29,1,Westin, CTO,1,1,1,827.0,2,2023-12-14
Joanna Pearson,joanna.pearson@gmail.com,2017-05-02,0,None,None,0,0,1,90.36,3,2022-05-12
Lauren Cooper MD,lauren cooper md.@gmail.com,2023-02-06,1,Nasscom,CEO,0,1,1,1199.0,3,2023-05-27
Mr. David Davis Jr.,mr. david davis jr..@gmail.com,2016-02-11,1,Cromax,CEO,1,1,2,0.0,1,2018-10-14
Zachary Reid,zachary.reid@gmail.com,2021-11-10,1,Amazon, CTO,1,1,2,0.0,1,2021-12-20
Courtney Hernandez,courtney.hernandez@gmail.com,2009-06-08,0,None,None,0,0,1,6325.1,2,2020-08-10
Matthew Davenport,matthew.davenport@gmail.com,2012-11-26,1,Indigo, CTO,0,1,3,0.0,2,2023-12-08
Michael Wheeler,michael.wheeler@gmail.com,2010-01-06,1,CaSa, CTO,0,1,2,0.0,1,2017-11-01
Katherine Davis,katherine.davis@gmail.com,2017-10-22,1,Nike, CTO,0,1,1,1178.0,2,2024-01-01
Rebecca Archer PhD,rebecca archer phd.@gmail.com,2012-11-26,1,Indigo,Employee,0,1,3,0.0,2,2023-08-13
Cynthia Jones,cynthia.jones@gmail.com,2021-09-25,0,None,None,0,0,1,1355.38,1,2023-09-03
Brittany Stevens,brittany.stevens@gmail.com,2020-07-18,0,None,None,0,0,1,1807.17,3,2014-04-23
Jonathan Riley,jonathan.riley@gmail.com,2013-08-21,1,Cosco,CEO,1,1,3,0.0,2,2023-12-16
Matthew Schwartz,matthew.schwartz@gmail.com,2007-05-21,1,Baxter,Employee,1,1,4,0.0,1,2017-03-25
Brian Johnson,brian.johnson@gmail.com,2023-02-06,1,Nasscom, CTO,0,1,1,436.0,3,2023-04-22
Michael Estrada,michael.estrada@gmail.com,2008-06-03,0,None,None,0,0,1,9035.86,1,2016-10-08
David Bailey,david.bailey@gmail.com,2019-12-14,0,None,None,0,0,1,8132.27,2,2013-07-18
Nicole Martinez,nicole.martinez@gmail.com,2014-10-09,0,None,None,0,0,1,3162.55,3,2021-11-08
Ethan Warner,ethan.warner@gmail.com,2020-04-04,1,Vodafone, CTO,0,1,3,0.0,3,2024-01-26
Amanda Martinez,amanda.martinez@gmail.com,2017-10-22,1,Nike,Employee,0,1,4,0.0,3,2019-05-11
Edward Harrison,edward.harrison@gmail.com,2018-12-30,0,None,None,0,0,1,1355.38,3,2023-07-18
Corey Jones,corey.jones@gmail.com,2024-01-21,1,The Oberoi,Employee,1,1,1,855.0,1,2024-03-12
Anna King,anna.king@gmail.com,2021-11-10,1,Amazon,Employee,1,1,2,0.0,1,2023-12-29
Misty Clark,misty.clark@gmail.com,2024-01-21,1,The Oberoi, CTO,1,1,3,0.0,1,2024-02-22
Patrick Dunn,patrick.dunn@gmail.com,2023-06-30,0,None,None,0,0,1,4517.93,3,2012-12-27
Tina Holmes,tina.holmes@gmail.com,2020-04-04,1,Vodafone,CEO,0,1,2,0.0,3,2022-09-18
Robert Williams,robert.williams@gmail.com,2008-03-10,1,Hyatt,Employee,1,1,1,1354.0,1,2011-04-11
Anna Farmer,anna.farmer@gmail.com,2012-01-01,0,None,None,0,0,1,1355.38,2,2022-02-02
Emily Murillo,emily.murillo@gmail.com,2020-07-31,1,YCI,Employee,1,1,3,0.0,2,2020-08-15
Leslie Williamson MD,leslie williamson md.@gmail.com,2007-05-21,1,Baxter,Employee,1,1,3,0.0,2,2007-08-17
Sheri Myers,sheri.myers@gmail.com,2015-04-03,0,None,None,0,0,1,1355.38,1,2016-03-24
Wesley Cordova,wesley.cordova@gmail.com,2014-09-22,0,None,None,0,0,1,1807.17,3,2010-08-23
Jason Ford,jason.ford@gmail.com,2024-01-21,1,The Oberoi,CEO,1,1,1,1373.0,1,2024-01-21
Stephanie Zimmerman MD,stephanie zimmerman md.@gmail.com,2013-06-02,1,Jonhsons,CEO,1,1,3,0.0,1,2015-04-09
Yvette Williams,yvette.williams@gmail.com,2020-04-04,1,Vodafone,CEO,0,1,2,0.0,1,2022-08-03
Derek Gibbs,derek.gibbs@gmail.com,2012-11-26,1,Indigo,CEO,1,1,3,0.0,1,2014-09-22
Jeremy Mitchell,jeremy.mitchell@gmail.com,2016-02-11,1,Cromax,CEO,0,1,2,0.0,1,2022-01-01
Brenda Thomas,brenda.thomas@gmail.com,2023-02-06,1,Nasscom,Employee,1,1,3,0.0,1,2024-02-17
Laura Brown,laura.brown@gmail.com,2010-04-14,0,None,None,0,0,1,451.79,1,2007-02-12
Nathaniel Carpenter,nathaniel.carpenter@gmail.com,2021-11-10,1,Amazon, CTO,0,1,2,0.0,3,2023-08-18
Ernest Ellison,ernest.ellison@gmail.com,2024-01-21,1,The Oberoi,CEO,1,1,2,0.0,3,2024-03-25
Gregory Johnson,gregory.johnson@gmail.com,2016-02-11,1,Cromax,CEO,1,1,2,0.0,3,2023-10-30
Benjamin Richard,benjamin.richard@gmail.com,2009-05-18,0,None,None,0,0,1,903.59,3,2022-04-09
Brian Clark,brian.clark@gmail.com,2010-01-06,1,CaSa, CTO,0,1,1,1942.0,2,2016-10-18
Lindsay Wells,lindsay.wells@gmail.com,2012-11-26,1,Indigo,Employee,0,1,4,0.0,2,2014-09-16
Casey Watts,casey.watts@gmail.com,2024-01-21,1,The Oberoi, CTO,1,1,2,0.0,2,2024-04-06
Donna Smith,donna.smith@gmail.com,2007-05-21,1,Baxter,CEO,0,1,1,1043.0,1,2016-05-03
Jessica Jones,jessica.jones@gmail.com,2012-11-26,1,Indigo,Employee,0,1,4,0.0,3,2015-05-01
Karina Dennis,karina.dennis@gmail.com,2023-10-29,1,Westin,CEO,1,1,4,0.0,3,2023-11-07
Corey Goodwin,corey.goodwin@gmail.com,2020-07-31,1,YCI, CTO,1,1,1,1301.0,3,2021-09-17
Desiree Sanders,desiree.sanders@gmail.com,2008-03-10,1,Hyatt, CTO,1,1,3,0.0,3,2008-09-23
Kelly Villegas,kelly.villegas@gmail.com,2016-02-11,1,Cromax,CEO,0,1,2,0.0,3,2016-12-27
Miranda Molina,miranda.molina@gmail.com,2023-05-11,0,None,None,0,0,1,451.79,3,2023-03-01
Rachel Bautista,rachel.bautista@gmail.com,2024-01-21,1,The Oberoi,Employee,1,1,3,0.0,3,2024-02-20
Carol Mora,carol.mora@gmail.com,2020-07-31,1,YCI, CTO,0,1,2,0.0,3,2021-07-17
Arthur Parker,arthur.parker@gmail.com,2012-11-26,1,Indigo, CTO,1,1,2,0.0,3,2014-07-04
Paula Grant,paula.grant@gmail.com,2011-03-18,0,None,None,0,0,1,4517.93,2,2011-02-26
Joshua Wright,joshua.wright@gmail.com,2019-04-17,0,None,None,0,0,1,8132.27,1,2016-07-30
Ms. Barbara Oliver,ms. barbara oliver.@gmail.com,2020-11-18,0,None,None,0,0,1,4517.93,2,2014-06-18
Daniel Rice,daniel.rice@gmail.com,2021-11-10,1,Amazon,Employee,1,1,2,0.0,2,2023-04-04
Jason White,jason.white@gmail.com,2012-11-26,1,Indigo,CEO,1,1,2,0.0,2,2020-02-16
Nancy Jones,nancy.jones@gmail.com,2012-05-31,0,None,None,0,0,1,8132.27,3,2021-11-21
Ashley Nelson,ashley.nelson@gmail.com,2013-08-21,1,Cosco,CEO,0,1,4,0.0,3,2015-11-03
Jerry Irwin,jerry.irwin@gmail.com,2017-10-22,1,Nike,Employee,1,1,1,592.0,3,2023-10-22
Andrew Wilson,andrew.wilson@gmail.com,2008-03-10,1,Hyatt,CEO,1,1,1,1975.0,1,2016-05-28
Jack Morgan,jack.morgan@gmail.com,2021-05-30,0,None,None,0,0,1,8132.27,1,2010-04-22
Craig Evans,craig.evans@gmail.com,2020-07-31,1,YCI,CEO,1,1,3,0.0,1,2022-08-09
Jacob Sullivan,jacob.sullivan@gmail.com,2019-11-29,0,None,None,0,0,1,8132.27,2,2019-07-29
Stephen Smith,stephen.smith@gmail.com,2016-02-11,1,Cromax, CTO,1,1,1,778.0,3,2018-11-25
Sarah Sims,sarah.sims@gmail.com,2020-07-31,1,YCI,Employee,1,1,1,1193.0,1,2023-05-16
Crystal Reese,crystal.reese@gmail.com,2023-02-06,1,Nasscom,Employee,0,1,1,847.0,1,2023-05-28
Sabrina Dunn,sabrina.dunn@gmail.com,2011-12-28,0,None,None,0,0,1,8132.27,2,2018-06-15
Stephanie Blair,stephanie.blair@gmail.com,2012-11-26,1,Indigo,Employee,1,1,3,0.0,2,2024-03-02
Briana Thomas DDS,briana thomas dds.@gmail.com,2008-03-10,1,Hyatt,Employee,0,1,3,0.0,2,2014-03-07
Brenda Fisher,brenda.fisher@gmail.com,2023-10-29,1,Westin, CTO,1,1,1,952.0,1,2024-02-10
Leah Lewis,leah.lewis@gmail.com,2024-01-21,1,The Oberoi,Employee,0,1,1,1747.0,3,2024-03-08
Michael Collins DDS,michael collins dds.@gmail.com,2020-04-04,1,Vodafone,CEO,1,1,4,0.0,3,2020-04-24
Courtney Shaw,courtney.shaw@gmail.com,2019-02-22,0,None,None,0,0,1,3162.55,2,2022-11-24
Ashley James,ashley.james@gmail.com,2023-10-29,1,Westin,Employee,1,1,4,0.0,1,2023-11-21
Stephanie Williamson,stephanie.williamson@gmail.com,2021-11-10,1,Amazon, CTO,0,1,2,0.0,1,2022-04-30
Mrs. Lisa Wilson,mrs. lisa wilson.@gmail.com,2020-04-04,1,Vodafone,CEO,1,1,4,0.0,2,2021-10-30
Jason Thomas,jason.thomas@gmail.com,2013-08-21,1,Cosco, CTO,0,1,2,0.0,2,2015-10-13
Rachael Gutierrez,rachael.gutierrez@gmail.com,2023-08-24,0,None,None,0,0,1,3162.55,2,2012-05-16
Susan Garcia,susan.garcia@gmail.com,2017-10-22,1,Nike, CTO,0,1,2,0.0,2,2023-11-07
Paul Little,paul.little@gmail.com,2020-04-04,1,Vodafone,Employee,0,1,4,0.0,2,2022-03-24
Nathan Colon,nathan.colon@gmail.com,2013-11-25,0,None,None,0,0,1,8132.27,2,2017-08-12
Jessica Bass,jessica.bass@gmail.com,2021-11-10,1,Amazon,Employee,0,1,2,0.0,3,2023-07-31
Sarah Silva,sarah.silva@gmail.com,2016-02-11,1,Cromax,Employee,0,1,4,0.0,3,2023-07-17
Mary Butler,mary.butler@gmail.com,2013-08-21,1,Cosco,Employee,0,1,2,0.0,3,2016-06-15
Daniel Higgins,daniel.higgins@gmail.com,2013-06-02,1,Jonhsons,CEO,0,1,2,0.0,3,2022-06-29
Zachary Wells,zachary.wells@gmail.com,2021-08-22,0,None,None,0,0,1,9035.86,2,2015-11-28
Mike Mason,mike.mason@gmail.com,2022-08-28,0,None,None,0,0,1,8132.27,2,2018-08-22
Brandon Solomon,brandon.solomon@gmail.com,2017-10-22,1,Nike,CEO,0,1,1,615.0,2,2018-02-16
Amanda Moore,amanda.moore@gmail.com,2017-05-16,0,None,None,0,0,1,1355.38,1,2013-12-01
Tracy Moore,tracy.moore@gmail.com,2017-03-11,0,None,None,0,0,1,903.59,2,2021-10-30
Edwin Sharp,edwin.sharp@gmail.com,2022-05-22,0,None,None,0,0,1,3162.55,3,2012-04-05
Johnny Wilcox,johnny.wilcox@gmail.com,2013-06-02,1,Jonhsons,CEO,0,1,4,0.0,3,2016-11-23
Mr. John Brown,mr. john brown.@gmail.com,2015-12-06,0,None,None,0,0,1,1355.38,2,2024-01-11
Mrs. Kimberly Russell,mrs. kimberly russell.@gmail.com,2024-01-21,1,The Oberoi,Employee,0,1,1,825.0,1,2024-02-02
Joseph Harris,joseph.harris@gmail.com,2013-08-21,1,Cosco,Employee,0,1,3,0.0,1,2020-03-31
Rachel Williams,rachel.williams@gmail.com,2012-11-26,1,Indigo,CEO,0,1,1,813.0,2,2013-05-05
Melissa Gomez,melissa.gomez@gmail.com,2024-01-21,1,The Oberoi,CEO,0,1,1,1375.0,1,2024-02-14
Darlene Lawrence,darlene.lawrence@gmail.com,2012-11-26,1,Indigo,Employee,0,1,4,0.0,1,2020-08-29
Kevin Perry,kevin.perry@gmail.com,2012-11-26,1,Indigo, CTO,0,1,2,0.0,1,2024-03-21
Benjamin Morgan,benjamin.morgan@gmail.com,2010-01-06,1,CaSa,Employee,1,1,1,1974.0,1,2014-01-08
Chad Stone,chad.stone@gmail.com,2012-08-25,0,None,None,0,0,1,451.79,1,2011-04-19
Ronald Stevenson,ronald.stevenson@gmail.com,2023-10-29,1,Westin,Employee,0,1,3,0.0,2,2023-12-01
Renee Grant,renee.grant@gmail.com,2017-10-22,1,Nike,Employee,0,1,3,0.0,2,2022-11-05
Barbara Meyer,barbara.meyer@gmail.com,2015-02-15,0,None,None,0,0,1,1807.17,2,2024-03-29
Monica Williams,monica.williams@gmail.com,2023-10-29,1,Westin,CEO,1,1,4,0.0,2,2024-01-15
Ariel Carter,ariel.carter@gmail.com,2020-04-04,1,Vodafone,Employee,0,1,4,0.0,2,2022-11-12
Donald Hamilton,donald.hamilton@gmail.com,2013-07-18,0,None,None,0,0,1,9035.86,2,2023-02-15
Carolyn Reeves,carolyn.reeves@gmail.com,2020-07-31,1,YCI,CEO,0,1,1,1033.0,3,2022-05-05
Lisa Cooper MD,lisa cooper md.@gmail.com,2012-07-06,0,None,None,0,0,1,1355.38,3,2015-12-10
Wanda Jordan,wanda.jordan@gmail.com,2017-10-22,1,Nike,Employee,1,1,1,426.0,2,2019-05-12
David Rogers,david.rogers@gmail.com,2014-03-28,0,None,None,0,0,1,90.36,2,2017-01-19
Michael Griffin,michael.griffin@gmail.com,2021-11-10,1,Amazon,Employee,0,1,2,0.0,3,2023-03-07
Mark Davis,mark.davis@gmail.com,2023-10-29,1,Westin,Employee,1,1,1,818.0,3,2024-01-18
Kimberly Kaufman,kimberly.kaufman@gmail.com,2016-11-26,0,None,None,0,0,1,90.36,1,2019-01-17
Brian Anderson,brian.anderson@gmail.com,2018-03-19,0,None,None,0,0,1,3162.55,2,2024-03-01
Kayla Payne,kayla.payne@gmail.com,2015-09-28,0,None,None,0,0,1,4517.93,2,2007-03-25
Michael Carrillo,michael.carrillo@gmail.com,2021-11-10,1,Amazon, CTO,0,1,2,0.0,2,2023-01-20
Karen Stanley,karen.stanley@gmail.com,2007-05-21,1,Baxter,CEO,1,1,4,0.0,2,2010-10-10
Sarah Lutz,sarah.lutz@gmail.com,2017-10-22,1,Nike,CEO,0,1,4,0.0,2,2023-02-24
Michelle Malone,michelle.malone@gmail.com,2016-02-11,1,Cromax,Employee,1,1,1,252.0,2,2022-12-14
Timothy Lang,timothy.lang@gmail.com,2015-07-22,0,None,None,0,0,1,1807.17,1,2016-09-01
Jessica Cline,jessica.cline@gmail.com,2018-10-16,1,Pepsi,CEO,1,1,4,0.0,1,2023-04-27
Bailey Thomas,bailey.thomas@gmail.com,2009-03-10,0,None,None,0,0,1,1807.17,1,2017-07-11
Ashley Huffman,ashley.huffman@gmail.com,2023-02-06,1,Nasscom,Employee,0,1,1,742.0,2,2024-01-05
Jonathan Griffith,jonathan.griffith@gmail.com,2023-10-29,1,Westin,CEO,1,1,1,1797.0,2,2024-02-14
Nicholas Nielsen,nicholas.nielsen@gmail.com,2012-11-26,1,Indigo, CTO,0,1,3,0.0,2,2014-09-22
Amanda Ramirez,amanda.ramirez@gmail.com,2023-10-29,1,Westin,CEO,0,1,3,0.0,2,2023-12-26
Anthony Parker,anthony.parker@gmail.com,2016-08-28,0,None,None,0,0,1,4517.93,2,2009-10-24
Emily Galloway,emily.galloway@gmail.com,2012-11-26,1,Indigo,CEO,0,1,1,1541.0,2,2018-04-19
Brett Sanchez,brett.sanchez@gmail.com,2018-10-16,1,Pepsi,Employee,1,1,4,0.0,2,2020-04-23
Brooke Villanueva,brooke.villanueva@gmail.com,2014-11-29,0,None,None,0,0,1,1355.38,2,2011-08-04
Cody Mercado,cody.mercado@gmail.com,2020-10-14,0,None,None,0,0,1,451.79,3,2024-03-26
Timothy Vasquez,timothy.vasquez@gmail.com,2020-12-05,0,None,None,0,0,1,9035.86,3,2020-07-27
Matthew Calderon,matthew.calderon@gmail.com,2007-05-21,1,Baxter,Employee,1,1,1,520.0,2,2009-02-01
Karen Howell,karen.howell@gmail.com,2010-04-01,0,None,None,0,0,1,4517.93,3,2006-12-02
Mr. James Hall,mr. james hall.@gmail.com,2021-01-09,0,None,None,0,0,1,451.79,1,2007-06-10
James Kennedy,james.kennedy@gmail.com,2007-05-21,1,Baxter,CEO,1,1,2,0.0,1,2022-06-14
Matthew Bishop,matthew.bishop@gmail.com,2020-04-04,1,Vodafone,CEO,0,1,3,0.0,1,2022-10-17
David Thompson,david.thompson@gmail.com,2012-11-26,1,Indigo,Employee,1,1,1,958.0,3,2022-02-17
Kristina Maldonado,kristina.maldonado@gmail.com,2013-06-02,1,Jonhsons, CTO,0,1,4,0.0,3,2017-05-03
Bailey Juarez,bailey.juarez@gmail.com,2018-01-05,0,None,None,0,0,1,1807.17,3,2010-02-15
Dillon Dodson,dillon.dodson@gmail.com,2021-04-05,0,None,None,0,0,1,90.36,3,2018-12-24
Brittany Cross,brittany.cross@gmail.com,2012-06-01,0,None,None,0,0,1,4517.93,3,2009-01-14
Elizabeth Jenkins,elizabeth.jenkins@gmail.com,2020-04-04,1,Vodafone,Employee,0,1,1,492.0,2,2022-08-29
Kathryn Zuniga,kathryn.zuniga@gmail.com,2013-08-21,1,Cosco,CEO,0,1,3,0.0,2,2014-05-16
Kevin Murphy,kevin.murphy@gmail.com,2021-11-10,1,Amazon,Employee,1,1,2,0.0,2,2023-07-23
Karen Cruz,karen.cruz@gmail.com,2014-06-08,0,None,None,0,0,1,4517.93,2,2009-05-21
Brandi Marshall,brandi.marshall@gmail.com,2011-07-25,0,None,None,0,0,1,6325.1,2,2010-04-24
Julian Brown,julian.brown@gmail.com,2012-03-26,0,None,None,0,0,1,9035.86,2,2013-03-01
Brittany Young,brittany.young@gmail.com,2013-08-21,1,Cosco, CTO,1,1,3,0.0,2,2015-09-25
Chad Petersen,chad.petersen@gmail.com,2013-12-13,0,None,None,0,0,1,90.36,3,2020-12-24
Veronica Williams,veronica.williams@gmail.com,2010-01-06,1,CaSa,Employee,0,1,3,0.0,1,2015-02-22
Caleb Brown,caleb.brown@gmail.com,2023-04-02,0,None,None,0,0,1,1807.17,1,2019-05-08
Michael Reed,michael.reed@gmail.com,2007-05-21,1,Baxter, CTO,1,1,2,0.0,1,2016-08-29
Joseph Acosta,joseph.acosta@gmail.com,2020-07-31,1,YCI, CTO,0,1,4,0.0,1,2023-04-14
Brandy Flowers,brandy.flowers@gmail.com,2024-01-21,1,The Oberoi, CTO,0,1,2,0.0,1,2024-01-26
Cole Byrd,cole.byrd@gmail.com,2013-08-21,1,Cosco, CTO,1,1,4,0.0,1,2023-08-03
Don Rich,don.rich@gmail.com,2018-10-16,1,Pepsi,CEO,1,1,3,0.0,1,2020-02-09
Spencer Mejia,spencer.mejia@gmail.com,2008-03-10,1,Hyatt,Employee,0,1,3,0.0,1,2010-01-29
Cynthia Campbell,cynthia.campbell@gmail.com,2017-10-22,1,Nike, CTO,1,1,2,0.0,1,2018-11-11
Lindsey Jackson,lindsey.jackson@gmail.com,2018-10-16,1,Pepsi, CTO,1,1,3,0.0,1,2021-08-09
Jeffrey Hernandez,jeffrey.hernandez@gmail.com,2016-03-25,0,None,None,0,0,1,903.59,3,2015-12-31
Julie Howard,julie.howard@gmail.com,2012-06-26,0,None,None,0,0,1,8132.27,2,2010-07-08
Kevin Jones,kevin.jones@gmail.com,2014-03-10,0,None,None,0,0,1,6325.1,2,2016-08-04
Renee Velazquez,renee.velazquez@gmail.com,2013-06-02,1,Jonhsons,Employee,1,1,2,0.0,3,2015-04-15
Courtney Hill,courtney.hill@gmail.com,2021-11-10,1,Amazon, CTO,0,1,2,0.0,1,2022-11-14
Donna Garcia,donna.garcia@gmail.com,2023-02-06,1,Nasscom, CTO,0,1,4,0.0,2,2023-11-02
Kyle Mays,kyle.mays@gmail.com,2018-10-16,1,Pepsi,Employee,0,1,3,0.0,2,2019-01-31
Christopher Garcia,christopher.garcia@gmail.com,2017-10-22,1,Nike,Employee,1,1,1,1249.0,2,2022-01-17
Ryan Dillon,ryan.dillon@gmail.com,2024-01-21,1,The Oberoi, CTO,0,1,4,0.0,2,2024-02-04
Mary Wilson,mary.wilson@gmail.com,2007-05-21,1,Baxter,CEO,0,1,4,0.0,2,2011-04-10
Scott Hart,scott.hart@gmail.com,2018-10-16,1,Pepsi, CTO,0,1,1,1308.0,1,2022-11-30
Nathan Williams,nathan.williams@gmail.com,2011-06-22,0,None,None,0,0,1,3162.55,3,2012-01-30
Deanna Kramer,deanna.kramer@gmail.com,2013-06-05,0,None,None,0,0,1,451.79,2,2008-03-21
Kelli Arnold,kelli.arnold@gmail.com,2020-07-31,1,YCI,CEO,0,1,2,0.0,2,2023-10-24
Lori Zimmerman,lori.zimmerman@gmail.com,2020-07-31,1,YCI,Employee,1,1,4,0.0,2,2021-10-14
